steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1396413	4	922.284553051	58385.3747556	58384.5474606	3.13459081745	58389.4879595	58380.8894312	1.84288076396e+13	6.87330096269e-23
1471860	11	939.458805084	58385.0370575	58384.6960997	4.55590426186	58391.487981	58377.4822313	1.84363148327e+13	5.04062689754e-23
1456435	8	945.268100977	58385.6504681	58384.6919872	3.20666941141	58390.9224872	58381.2543407	1.84348359908e+13	5.27926382147e-23
1298780	2	1081.63477111	58384.8007059	58383.9168855	3.3214628353	58391.9679697	58381.14461	1.84269338608e+13	7.10392373246e-23
1469385	10	1093.81484103	58387.0102598	58386.8221394	2.66741617945	58390.8185777	58381.6236203	1.84197918327e+13	8.51917262381e-23
1288820	1	1104.65018702	58386.5191358	58385.9142974	3.30515254337	58391.9467912	58382.9021268	1.84378366425e+13	4.70953874689e-23
1454103	7	1113.65363288	58383.5196666	58385.3170475	6.75626972109	58391.9347093	58367.8591747	1.84314880591e+13	6.16458108484e-23
1473109	12	1130.68246388	58384.6164417	58385.5237387	4.54339723587	58390.0110252	58374.3171526	1.84235536308e+13	7.96609380037e-23
1380087	3	1135.42143393	58385.2592641	58386.1621122	5.55171464526	58392.3922948	58374.3430084	1.84246903749e+13	7.2353056404e-23
1424323	5	1138.24112511	58385.2035969	58383.4759085	4.18157740595	58392.2706719	58380.6619665	1.84382272969e+13	4.39974370923e-23
1483255	13	1149.80210996	58385.4379854	58386.0569704	4.42632703894	58391.7608065	58376.2868099	1.843482587e+13	5.18839217884e-23
1495041	14	1149.9992671	58385.0217527	58383.6594054	5.07077502393	58392.8626542	58377.801705	1.84382307756e+13	4.62817484041e-23
1451785	6	1176.0630641	58383.946325	58384.548399	4.23851091513	58388.9744712	58376.5958073	1.84382220692e+13	4.61675249413e-23
1466010	9	1177.30008006	58385.3809531	58385.7651339	5.15387132807	58392.9774214	58373.7259008	1.84265549418e+13	6.99077750303e-23
1537222	15	1226.40088391	58385.894306	58386.4247688	3.97127270664	58390.4007419	58378.5870185	1.84412451127e+13	4.18277787224e-23
1601080	23	1238.87560606	58386.4170594	58386.4472293	3.33721064773	58390.8754662	58379.9730385	2.07636573436e+13	4.67475828149e-23
2175371	34	1434.05162692	58385.0646072	58384.0308791	5.31069086116	58393.5990307	58377.0824629	3.64468619956e+13	1.63260760754e-23
2156712	33	1524.31911993	58384.8548773	58383.6723643	5.46011062949	58392.2742941	58376.2196574	3.58825698612e+13	1.32606906875e-23
2215751	35	1593.79059291	58385.9436603	58384.4263234	4.16346809603	58391.6843083	58379.0233691	3.88157920614e+13	1.60800758524e-23
2448809	40	1664.10328603	58382.515102	58383.571416	4.03034189489	58387.9613432	58376.0809332	4.37598099969e+13	1.27549245356e-23
2245905	36	1688.21585989	58384.9808298	58385.7996948	2.56680729555	58388.2557362	58381.8087129	3.98492801493e+13	2.0929325137e-23
2311878	37	1707.82807708	58384.6735913	58386.0890734	6.0843913001	58394.0522468	58372.1898043	4.01089691557e+13	1.264440633e-23
2362923	38	1750.15111804	58384.0124726	58384.3649146	3.89015858706	58389.005867	58376.1243138	4.01116273724e+13	1.13596124613e-23
2439721	39	1795.655231	58384.8311872	58384.2187728	4.42924963699	58391.5431715	58378.299383	4.33983389976e+13	1.54029521687e-23
2514827	46	1841.79713893	58385.5322598	58386.5816629	3.96545415325	58389.919748	58378.8827508	5.14736265103e+13	1.45505036638e-23
2995492	49	1900.84065104	58381.8399055	58381.8764364	7.52547477905	58390.9980886	58368.1977486	6.19918744214e+13	1.07154105652e-23
3018817	50	1999.54134107	58385.4365125	58383.8816262	3.70469448835	58391.1653094	58381.8887707	6.19893259107e+13	1.28818734744e-23
3194577	51	2029.62708306	58385.469079	58386.4303497	4.64412675048	58391.1948726	58376.3107292	6.31596384897e+13	1.56677780845e-23
3296887	54	2087.3150301	58384.4303276	58384.9584646	4.79673259202	58389.3012447	58375.4611162	6.41722724446e+13	1.94571522103e-23
3290507	52	2091.81626892	58382.3041105	58385.0017216	6.41945433932	58388.3329835	58368.4260855	6.40762909812e+13	1.78598511519e-23
3474844	56	2148.26584601	58387.2400793	58388.0472642	4.72551453521	58392.8149042	58376.9686102	6.55860991436e+13	1.87504526614e-23
3410811	55	2221.75225592	58384.0892694	58384.5505303	2.64041624934	58387.6157889	58380.4092286	6.48627943223e+13	2.51945100273e-23
3507224	58	2227.15956402	58383.1041062	58384.4268249	5.78579636852	58390.1060405	58372.2569122	6.56079803137e+13	9.94799457467e-24
3295346	53	2272.1327529	58383.9244835	58383.6919801	5.12951268626	58390.8458668	58373.3068623	6.40174347563e+13	2.00159363414e-23
3486971	57	2369.8303659	58383.586962	58383.1771803	4.85686660908	58390.5257688	58376.4698697	6.55787690061e+13	1.25788652115e-23
3608582	63	2447.47937703	58383.1147748	58383.4359099	4.62644314184	58389.0079115	58375.0979058	7.11353937599e+13	1.76299552581e-23
3715383	68	2482.957757	58383.927062	58383.7868611	3.40225486662	58389.4004056	58379.2461842	7.64106886768e+13	1.02980274292e-23
4176720	73	2490.66185403	58382.7466241	58382.1121748	3.72204287036	58388.2900134	58377.2531474	8.43625158526e+13	1.0180557209e-23
4290255	76	2543.54115009	58385.9373652	58386.7045282	3.79424029179	58391.3562478	58379.3852997	8.54356339524e+13	1.70394320809e-23
3860248	72	2575.51876807	58385.6395147	58386.0862447	4.53794866336	58390.5683918	58376.8624085	8.18997844983e+13	2.50008308096e-23
4266723	75	2575.5274899	58383.9370447	58383.7844197	4.4171377069	58391.1953651	58375.4623775	8.54230320549e+13	2.23798162611e-23
4303125	77	2582.07789803	58386.4050108	58387.025062	2.26972578291	58388.5288362	58381.2438069	8.55828226663e+13	1.77190053202e-23
4437468	78	2718.61960602	58386.7643077	58387.7957083	3.21291354185	58389.8634666	58378.6145843	8.81726754459e+13	1.49270361865e-23
4241184	74	2779.19911408	58382.226111	58381.6619821	5.47219755211	58392.7944267	58371.5973786	8.52987373261e+13	1.03361275122e-23
