steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy
1311661	2	911.362615824	58327.6691184	58337.6780555	24.666434735	58348.803223	58264.3240046	2.18577742599e+13	1.14478209926e-22
1296743	1	937.770373821	58331.8095815	58330.8062608	10.3981501699	58347.0815499	58317.0692449	2.18440641784e+13	1.42654460929e-22
1410440	3	965.233521938	58330.9006872	58332.8694709	19.8744935283	58356.9221572	58290.5047343	2.18383861242e+13	1.38588948933e-22
1448646	8	1011.99313593	58322.9303768	58328.0119439	17.6932468901	58340.1213461	58283.7414382	2.18510809444e+13	1.20849759832e-22
1416729	4	1036.13395596	58324.0274046	58320.2649517	19.167771763	58351.0871768	58292.6237835	2.18586804214e+13	1.06340158529e-22
1470311	10	1040.40568781	58212.6919203	58331.7472683	376.075396039	58359.8992648	57143.6652636	2.18495566497e+13	1.20082567168e-22
1447635	7	1060.2263689	58333.9779764	58338.163191	13.5456154718	58351.0297555	58302.8487943	2.18798109024e+13	6.76691289493e-23
1436788	6	1085.90638185	58335.0486391	58337.4208084	10.3074332208	58348.1825691	58316.0039567	2.18555200545e+13	1.08183118351e-22
1436589	5	1109.9716959	58208.4504416	58327.2026274	373.513882789	58351.6320634	57146.6900387	9.11606190005e+12	1.47755685769e-22
1465454	9	1117.095649	58321.5605378	58324.1166918	19.3083714725	58345.1838252	58279.8493724	2.18463566676e+13	1.35671763705e-22
1513599	15	1133.34719086	58331.5021638	58333.6984333	11.6444706	58353.4403406	58312.7745691	2.18712711601e+13	8.62489503346e-23
1483944	14	1139.1288929	58339.0787203	58339.3890953	10.3647156621	58351.1316679	58322.0250654	2.18023283007e+13	1.84947116582e-22
1474561	12	1143.37030101	58335.4034557	58332.8055075	12.4967890872	58352.373112	58317.718337	2.18500367897e+13	1.19670395983e-22
1475499	13	1191.61472678	58316.5962433	58329.227861	27.0429120669	58347.0721931	58264.609183	2.18645580065e+13	9.45380980017e-23
1472335	11	1226.23327494	58334.1442353	58334.1046247	8.52456114651	58350.9838218	58321.2851689	2.18611374623e+13	1.14278532037e-22
1605620	24	1341.0739038	58332.0662217	58330.1241586	15.0892736351	58354.4792307	58307.3884977	2.54020568599e+13	1.14131912961e-22
