p (0, 0, mpf('0.00012311732284515051771176692534603726789432608698524559935231458634279833625244835910441536445864449683607157855235764104504948314566235935152786942471651072291916775386353940934044528572902998770257530924'), [mpf('0.0'), mpf('-2.0'), mpf('0.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('0.0'), mpf('0.0'), mpf('-1.0')])
p (0, 0, mpf('0.000024634677967426987008049555516097577897300718035461228608551363183512225695200317785511387121367743218015480708276302668958417744261098121056309086649709693551511934046891251695323466822427804065339524669'), [mpf('1.0'), mpf('-2.0'), mpf('-1.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('-2.0'), mpf('0.0'), mpf('-2.0')])
s (0, 0, mpf('0.0010428775975447791333086838951163470187773219414628554719188275925506943268752961660135296633257641667291911574235012158751844845312296594478015937746111634569742509358081230685033695882633189013246417698'), [mpf('1.0'), mpf('-3.0'), mpf('-1.0'), mpf('0.0'), mpf('-1.0'), 0, mpf('1.0'), mpf('-1.0'), mpf('-1.0'), mpf('-4.0')])
s (0, 0, mpf('0.001198436238494688791563952816714438509598260402186764477600417862747380492635712178660890737835751018091419956584200646410483656910404671449286624313203149098140525063215428520132530957068750873275268647'), [mpf('6.0'), mpf('-4.0'), mpf('4.0'), mpf('1.0'), mpf('-2.0'), mpf('1.0'), mpf('-1.0'), mpf('2.0'), mpf('0.0'), mpf('5.0')])
p (0, 0, mpf('0.0000037675494861917316840446244921750897669321715437459010842674165383723923908340436149270416269894440038756868882417019848956595615640478699579104094968509564727094486718410004932772882728869655517389721424'), [0, mpf('1.0'), 0, 0, 0, mpf('-1.0'), mpf('-1.0'), 0, 0, 0])
s (0, 0, mpf('0.0012015224882911553095537082578618160222662709047309858968291014471517502565502645505873540071902119156241762693847660208927007246822446990547981130503580194613680045418919400454074604143241151775688952118'), [mpf('1.0'), mpf('0.0'), mpf('1.0'), 0, mpf('3.0'), mpf('-2.0'), mpf('-2.0'), mpf('1.0'), mpf('1.0'), mpf('-1.0')])
s (0, 0, mpf('0.0011516294752317792722898394311351551895017000398441222142950933878546455419172603030874168155202150383653410241926976351879072573663500934152443914563684356981319794172656458533959195920035237020205335358'), [0, 0, 0, 0, 0, mpf('-1.0'), mpf('-1.0'), mpf('1.0'), mpf('2.0'), mpf('-1.0')])
s (0, 0, mpf('0.0012825774016766204779782048642366355062502625042029371654827046030216653706787543215569054253174186956898768830048992621503461988263352324458645331790231153063478604148061461080324944648723467126423903754'), [mpf('2.0'), mpf('-8.0'), mpf('2.0'), mpf('-7.0'), mpf('0.0'), mpf('-2.0'), mpf('-1.0'), mpf('-5.0'), mpf('-4.0'), mpf('2.0')])
s (0, 0, mpf('0.0014076297885417847822753348227626815554160705379654582707299623864703404419720773072342034941551974831269363209088307915868579981518028794133515863152602866581899613928811674113668638803886083019046661716'), [mpf('-1.0'), 0, mpf('2.0'), 0, 0, mpf('1.0'), mpf('-1.0'), mpf('-1.0'), mpf('2.0'), 0])
s (0, 0, mpf('0.0012848676190535097390818544382428497186266929207638305532487686288486315694379123046732402289044963162583243683342969984918041240347644916458048081080518608123193026511426370184673102905071769067911719772'), [mpf('1.0'), mpf('-3.0'), mpf('2.0'), mpf('3.0'), mpf('0.0'), mpf('-2.0'), mpf('-1.0'), mpf('-1.0'), mpf('-4.0'), mpf('-4.0')])
s (0, 0, mpf('0.001497824707681027774769338615410332093498689354943774033776805001691693943128931808908338180874405263066716254151527106267665040059295280564113443818449689965000242897484790439773053785465943123884337526'), [mpf('0.0'), mpf('4.0'), mpf('-4.0'), mpf('5.0'), mpf('-2.0'), mpf('1.0'), mpf('-1.0'), mpf('0.0'), mpf('3.0'), mpf('0.0')])
